log(T),S0+,S1+,S2+,S3+,S4+,S5+,S6+,S7+,S8+,S9+,S10+,S11+,S12+,S13+,S14+,S15+,S16+
4.00,0.181,0.468,8.954,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.10,0.949,0.052,5.894,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.20,1.850,0.006,3.766,11.913,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.30,2.521,0.004,2.163,7.967,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.40,2.899,0.044,1.023,5.016,12.472,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.50,3.228,0.232,0.384,3.068,8.554,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.60,3.671,0.580,0.141,1.884,5.855,13.801,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.70,4.176,0.983,0.087,1.108,3.903,10.045,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.80,4.737,1.427,0.154,0.588,2.449,7.133,12.084,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.90,5.394,1.954,0.355,0.295,1.398,4.894,8.280,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.00,6.174,2.596,0.706,0.221,0.700,3.219,5.337,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.10,7.091,3.362,1.211,0.356,0.313,2.021,3.109,12.438,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.20,8.119,4.233,1.844,0.660,0.175,1.203,1.451,8.425,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.30,9.391,5.344,2.737,1.256,0.391,0.842,0.406,5.534,12.461,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.40,11.075,6.865,4.055,2.305,1.107,1.062,0.081,3.758,8.942,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.50,12.749,8.377,5.375,3.377,1.885,1.406,0.025,2.551,6.335,11.502,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.60,14.231,9.696,6.512,4.284,2.527,1.662,0.022,1.628,4.285,8.111,12.906,15.000,15.000,15.000,15.000,15.000,15.000
5.70,15.000,10.884,7.525,5.081,3.081,1.871,0.062,0.935,2.686,5.425,8.971,13.453,15.000,15.000,15.000,15.000,15.000
5.80,15.000,12.059,8.532,5.885,3.661,2.140,0.198,0.485,1.513,3.374,5.914,9.252,13.395,15.000,15.000,15.000,15.000
5.90,15.000,13.327,9.637,6.798,4.365,2.564,0.496,0.309,0.757,1.912,3.646,6.057,9.141,12.821,15.000,15.000,15.000
6.00,15.000,14.747,10.899,7.879,5.250,3.197,0.998,0.419,0.394,0.980,2.070,3.731,5.947,8.645,11.353,15.000,15.000
6.10,15.000,15.000,12.340,9.146,6.332,4.052,1.716,0.800,0.381,0.504,1.073,2.127,3.627,5.529,7.385,15.000,15.000
6.20,15.000,15.000,13.960,10.602,7.613,5.125,2.647,1.435,0.678,0.415,0.554,1.112,2.020,3.273,4.429,14.702,15.000
6.30,15.000,15.000,15.000,12.258,9.103,6.425,3.801,2.322,1.269,0.676,0.451,0.594,1.009,1.729,2.306,10.351,15.000
6.40,15.000,15.000,15.000,14.194,10.881,8.026,5.253,3.530,2.213,1.329,0.789,0.578,0.575,0.852,0.946,7.199,14.509
6.50,15.000,15.000,15.000,15.000,13.026,10.006,7.083,5.134,3.576,2.433,1.613,1.094,0.733,0.633,0.325,5.130,10.884
6.60,15.000,15.000,15.000,15.000,15.000,12.117,9.045,6.885,5.106,3.728,2.654,1.861,1.188,0.763,0.127,3.762,8.255
6.70,15.000,15.000,15.000,15.000,15.000,14.115,10.895,8.538,6.553,4.959,3.654,2.614,1.665,0.958,0.064,2.754,6.222
6.80,15.000,15.000,15.000,15.000,15.000,15.000,12.576,10.032,7.856,6.060,4.543,3.276,2.082,1.129,0.043,1.973,4.604
6.90,15.000,15.000,15.000,15.000,15.000,15.000,14.107,11.387,9.030,7.046,5.331,3.855,2.441,1.273,0.046,1.366,3.308
7.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.650,10.120,7.958,6.058,4.387,2.774,1.416,0.080,0.908,2.279
7.10,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.873,11.179,8.849,6.772,4.919,3.125,1.597,0.165,0.589,1.484
7.20,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.258,9.766,7.523,5.497,3.534,1.851,0.326,0.411,0.904
7.30,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.386,10.740,8.337,6.147,4.027,2.199,0.576,0.370,0.521
7.40,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.559,11.765,9.209,6.862,4.593,2.627,0.902,0.438,0.295
7.50,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.809,10.107,7.609,5.198,3.098,1.264,0.569,0.171
7.60,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.847,11.002,8.360,5.811,3.580,1.633,0.727,0.103
7.70,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.862,11.880,9.097,6.415,4.054,1.992,0.891,0.065
7.80,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.734,9.815,7.003,4.515,2.334,1.051,0.043
7.90,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.566,10.514,7.574,4.960,2.659,1.204,0.029
8.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.377,11.195,8.129,5.389,2.969,1.350,0.020
8.10,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.860,8.670,5.806,3.265,1.491,0.015
8.20,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.510,9.198,6.212,3.551,1.626,0.011
8.30,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.149,9.717,6.609,3.829,1.757,0.008
8.40,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.779,10.228,7.000,4.102,1.886,0.006
8.50,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.402,10.734,7.387,4.372,2.014,0.004
8.60,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.238,7.773,4.641,2.142,0.003
8.70,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.740,8.159,4.911,2.271,0.002
8.80,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.244,8.546,5.185,2.401,0.002
8.90,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.750,8.938,5.462,2.534,0.001
9.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.260,9.334,5.745,2.670,0.001
