log(T),Ni0+,Ni1+,Ni2+,Ni3+,Ni4+,Ni5+,Ni6+,Ni7+,Ni8+,Ni9+,Ni10+,Ni11+,Ni12+,Ni13+,Ni14+,Ni15+,Ni16+,Ni17+,Ni18+,Ni19+,Ni20+,Ni21+,Ni22+,Ni23+,Ni24+,Ni25+,Ni26+,Ni27+,Ni28+
4,1.265,0.024,4.955,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.1,2.154,0.004,2.936,13.025,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.2,2.875,0.021,1.343,8.551,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.3,3.552,0.289,0.314,5.102,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.4,4.404,1.022,0.044,2.885,10.117,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.5,5.028,1.63,0.033,1.31,6.154,14.805,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.6,5.543,2.129,0.267,0.345,3.274,9.302,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.7,6.208,2.753,0.76,0.099,1.542,5.469,13.084,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.8,6.815,3.295,1.192,0.164,0.604,2.92,8.226,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.9,7.502,3.895,1.678,0.414,0.25,1.496,5.147,10.782,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5,8.29,4.581,2.24,0.774,0.187,0.755,3.281,7.386,12.913,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.1,9.195,5.371,2.898,1.238,0.301,0.364,2.059,5.057,9.044,14.315,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.2,10.212,6.264,3.649,1.799,0.552,0.192,1.222,3.353,6.215,9.84,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.3,11.329,7.253,4.489,2.448,0.918,0.187,0.663,2.082,4.07,6.466,10.375,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.4,12.564,8.355,5.435,3.205,1.412,0.35,0.353,1.175,2.452,3.981,6.89,12.708,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.5,13.955,9.611,6.531,4.11,2.07,0.709,0.303,0.616,1.302,2.201,4.312,8.874,13.947,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.6,15,11.104,7.859,5.249,2.976,1.34,0.573,0.446,0.633,1.038,2.494,6.024,9.971,14.31,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.7,15,12.903,9.49,6.691,4.195,2.305,1.215,0.704,0.462,0.458,1.365,4.039,7.056,10.347,14.776,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.8,15,14.897,11.316,8.328,5.619,3.492,2.108,1.258,0.642,0.286,0.724,2.683,4.925,7.351,10.802,14.657,15,15,15,15,15,15,15,15,15,15,15,15,15
5.9,15,15,13.205,10.031,7.116,4.766,3.114,1.958,1.012,0.345,0.377,1.732,3.322,5.029,7.666,10.636,13.84,15,15,15,15,15,15,15,15,15,15,15,15
6,15,15,15,11.752,8.638,6.077,4.175,2.742,1.499,0.554,0.227,1.067,2.102,3.205,5.158,7.386,9.794,12.676,14.991,15,15,15,15,15,15,15,15,15,15
6.1,15,15,15,13.501,10.194,7.433,5.299,3.611,2.098,0.898,0.252,0.646,1.204,1.794,3.163,4.76,6.49,8.584,10.139,15,15,15,15,15,15,15,15,15,15
6.2,15,15,15,15,11.893,8.941,6.588,4.664,2.903,1.468,0.532,0.536,0.679,0.828,1.692,2.742,3.886,5.303,6.277,10.652,15,15,15,15,15,15,15,15,15
6.3,15,15,15,15,13.902,10.766,8.208,6.063,4.071,2.417,1.216,0.875,0.652,0.416,0.837,1.408,2.041,2.884,3.426,6.778,10.667,15,15,15,15,15,15,15,15
6.4,15,15,15,15,15,12.962,10.209,7.857,5.649,3.788,2.343,1.693,1.144,0.567,0.595,0.743,0.933,1.3,1.513,4.062,7.059,10.437,14.209,15,15,15,15,15,15
6.5,15,15,15,15,15,15,12.734,10.187,7.776,5.719,4.047,3.118,2.275,1.393,1.072,0.844,0.651,0.63,0.579,2.49,4.78,7.375,10.285,13.565,15,15,15,15,15
6.6,15,15,15,15,15,15,15,12.796,10.193,7.949,6.065,4.881,3.771,2.613,1.979,1.417,0.894,0.558,0.282,1.675,3.395,5.362,7.579,10.111,12.89,15,15,15,15
6.7,15,15,15,15,15,15,15,15,12.533,10.112,8.029,6.611,5.255,3.846,2.93,2.07,1.263,0.666,0.191,1.15,2.399,3.854,5.508,7.432,9.543,11.904,14.328,15,15
6.8,15,15,15,15,15,15,15,15,14.739,12.149,9.879,8.244,6.662,5.022,3.852,2.724,1.669,0.85,0.192,0.78,1.63,2.656,3.843,5.266,6.826,8.605,10.415,15,15
6.9,15,15,15,15,15,15,15,15,15,14.102,11.656,9.819,8.028,6.176,4.774,3.404,2.13,1.116,0.284,0.546,1.052,1.712,2.503,3.504,4.604,5.899,7.199,14.523,15
7,15,15,15,15,15,15,15,15,15,15,13.443,11.417,9.431,7.381,5.768,4.178,2.706,1.515,0.517,0.489,0.691,1.03,1.48,2.118,2.827,3.715,4.587,10.451,15
7.1,15,15,15,15,15,15,15,15,15,15,15,13.164,10.996,8.763,6.953,5.162,3.509,2.153,0.995,0.704,0.633,0.688,0.836,1.158,1.53,2.069,2.581,7.261,12.601
7.2,15,15,15,15,15,15,15,15,15,15,15,15,12.887,10.483,8.491,6.512,4.691,3.18,1.864,1.333,1.015,0.813,0.692,0.733,0.81,1.046,1.257,4.975,9.312
7.3,15,15,15,15,15,15,15,15,15,15,15,15,15,12.58,10.418,8.265,6.284,4.624,3.153,2.401,1.856,1.42,1.055,0.844,0.659,0.629,0.589,3.523,7.04
7.4,15,15,15,15,15,15,15,15,15,15,15,15,15,14.838,12.515,10.198,8.066,6.26,4.638,3.68,2.926,2.274,1.686,1.245,0.826,0.562,0.31,2.601,5.444
7.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.591,12.12,9.841,7.894,6.123,4.973,4.024,3.172,2.378,1.725,1.096,0.621,0.19,1.951,4.234
7.6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.972,11.551,9.465,7.548,6.218,5.086,4.047,3.061,2.212,1.39,0.726,0.137,1.457,3.271
7.7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.195,10.972,8.912,7.413,6.109,4.893,3.727,2.694,1.694,0.857,0.125,1.071,2.491
7.8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.79,12.432,10.231,8.573,7.104,5.721,4.385,3.18,2.014,1.016,0.148,0.775,1.858
7.9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.864,11.525,9.716,8.09,6.548,5.05,3.682,2.359,1.21,0.211,0.561,1.352
8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12.809,10.857,9.081,7.387,5.736,4.211,2.74,1.447,0.321,0.425,0.962
8.1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.095,12.005,10.085,8.245,6.447,4.774,3.16,1.728,0.476,0.362,0.674
8.2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.162,11.102,9.121,7.181,5.365,3.614,2.047,0.672,0.359,0.469
8.3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.32,12.124,10.007,7.93,5.976,4.092,2.394,0.896,0.401,0.327
8.4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.145,10.895,8.685,6.597,4.582,2.757,1.138,0.473,0.23
8.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.157,11.777,9.438,7.219,5.078,3.127,1.388,0.565,0.163
8.6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12.651,10.185,7.84,5.574,3.5,1.643,0.67,0.117
8.7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.515,10.925,8.455,6.068,3.873,1.9,0.782,0.085
8.8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.37,11.658,9.066,6.559,4.245,2.157,0.899,0.062
8.9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12.385,9.673,7.047,4.616,2.416,1.021,0.045
9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.107,10.278,7.535,4.988,2.677,1.146,0.033
